probe_id	gene_symbol
ILMN_1652223	WDR91
ILMN_1652237	CBR3
ILMN_1652249	PPP2R4
ILMN_1652277	SECTM1
ILMN_1652280	FBXO32
ILMN_1652300	ZNF507
ILMN_1652314	SPAG1
ILMN_1652357	PDHX
ILMN_1652369	ERCC1
ILMN_1652371	KIAA1324L
ILMN_1652378	IPO7
ILMN_1652379	SUCLG2
ILMN_1652381	SIGLEC5
ILMN_1652394	RAB2A
ILMN_1652407	ZMYND8
ILMN_1652409	SPATA7
ILMN_1652412	PHKB
ILMN_1652431	CA1
ILMN_1652434	MTHFD2L
ILMN_1652439	KRTAP3-1
ILMN_1652456	TMEM98
ILMN_1652461	PARD3B
ILMN_1652472	BRAF
ILMN_1652486	THAP7
ILMN_1652487	RIOK1
ILMN_1652505	APEX2
ILMN_1652512	C2CD2
ILMN_1652521	MTMR9
ILMN_1652525	FAM125B
ILMN_1652540	RELL2
ILMN_1652549	DTNA
ILMN_1652580	POLD1
ILMN_1652594	ACTR5
ILMN_1652602	C11orf35
ILMN_1652609	RGNEF
ILMN_1652631	GLIPR2
ILMN_1652647	INPP4A
ILMN_1652650	SH3KBP1
ILMN_1652662	GRB10
ILMN_1652677	FAM89A
ILMN_1652693	SHH
ILMN_1652694	FAM131B
ILMN_1652716	THEX1
ILMN_1652722	C14orf2
ILMN_1652727	GLT8D1
ILMN_1652729	ANK2
ILMN_1652732	HTR7
ILMN_1652736	RPS6KA3
ILMN_1652749	ERF
ILMN_1652753	PAAF1
ILMN_1652754	ZNF428
ILMN_1652762	HIC2
ILMN_1652777	CDC42EP2
ILMN_1652780	TMOD2
ILMN_1652790	CLK1
ILMN_1652797	FAM174B
ILMN_1652806	ATP5J
ILMN_1652807	HOXA3
ILMN_1652825	IL10RA
ILMN_1652826	LRRC17
ILMN_1652857	SLC15A1
ILMN_1652872	UBOX5
ILMN_1652906	GBGT1
ILMN_1652907	CDC5L
ILMN_1652913	EZH2
ILMN_1652918	RHOF
ILMN_1652929	POGZ
ILMN_1652938	PRRG3
ILMN_1652952	RASAL2
ILMN_1652989	NUP160
ILMN_1652992	PRDM2
ILMN_1652998	HIST1H2BL
ILMN_1653001	CABLES1
ILMN_1653006	CSN1S1
ILMN_1653028	COL4A1
ILMN_1653040	PCDHGA12
ILMN_1653042	HSD3B7
ILMN_1653102	CCDC64
ILMN_1653115	ECH1
ILMN_1653120	ST6GAL1
ILMN_1653125	PER1
ILMN_1653129	CSTF2
ILMN_1653133	SH3D19
ILMN_1653161	SNCG
ILMN_1653163	ZSCAN2
ILMN_1653165	AAMP
ILMN_1653166	CLEC10A
ILMN_1653174	GCNT2
ILMN_1653200	SLC22A17
ILMN_1653203	EFEMP2
ILMN_1653209	ZWINT
ILMN_1653220	PITPNM1
ILMN_1653251	HIST1H1B
ILMN_1653263	GPRIN1
ILMN_1653278	MUC20
ILMN_1653283	APP
ILMN_1653292	PFKFB4
ILMN_1653310	ZNF580
ILMN_1653319	MC1R
ILMN_1653332	FAM29A
ILMN_1653337	USP32
ILMN_1653340	RECQL5
ILMN_1653342	DUS1L
ILMN_1653358	FUT3
ILMN_1653404	NKIRAS2
ILMN_1653412	RAXL1
ILMN_1653429	SLC35A3
ILMN_1653432	HNRPDL
ILMN_1653434	DMD
ILMN_1653443	CDK2
ILMN_1653447	PSORS1C2
ILMN_1653459	IL11RA
ILMN_1653466	HES4
ILMN_1653480	KENAE
ILMN_1653494	S100A1
ILMN_1653498	IGSF6
ILMN_1653501	SEMA3B
ILMN_1653504	EDG1
ILMN_1653524	SIKE
ILMN_1653553	C14orf80
ILMN_1653578	XYLT1
ILMN_1653599	ATP5D
ILMN_1653612	KCTD9
ILMN_1653613	PIGO
ILMN_1653646	UBL7
ILMN_1653648	GPR63
ILMN_1653652	PTPRC
ILMN_1653670	CUL3
ILMN_1653687	GALNT9
ILMN_1653708	CORO1B
ILMN_1653709	TIMM9
ILMN_1653711	FZD2
ILMN_1653712	UAP1L1
ILMN_1653718	ZFAND2B
ILMN_1653719	ITGBL1
ILMN_1653730	OXCT2
ILMN_1653750	SOX10
ILMN_1653762	NRSN1
ILMN_1653766	CCL24
ILMN_1653793	PDPK1
ILMN_1653824	LAMC2
ILMN_1653828	CHFR
ILMN_1653834	OGFOD1
ILMN_1653836	C11orf41
ILMN_1653856	STS-1
ILMN_1653861	SCMH1
ILMN_1653867	ZNF483
ILMN_1653871	NAMPT
ILMN_1653878	CACNB2
ILMN_1653896	ATRIP
ILMN_1653940	USP2
ILMN_1653965	ITGB4
ILMN_1654010	AGPAT3
ILMN_1654013	C17orf28
ILMN_1654016	MRLC2
ILMN_1654031	TPTE2
ILMN_1654032	ZER1
ILMN_1654060	MKNK2
ILMN_1654065	ATOH8
ILMN_1654068	NUDT1
ILMN_1654072	CX3CL1
ILMN_1654074	ITGA3
ILMN_1654099	LRIG2
ILMN_1654109	EGFLAM
ILMN_1654112	PARD6A
ILMN_1654118	BCL2L1
ILMN_1654141	ZDHHC20
ILMN_1654151	COX6C
ILMN_1654195	GCC2
ILMN_1654210	CD1C
ILMN_1654212	DOK7
ILMN_1654217	MPP2
ILMN_1654246	SIRT6
ILMN_1654261	TRPV1
ILMN_1654287	ADCY9
ILMN_1654289	ELK1
ILMN_1654318	PTPN23
ILMN_1654319	HAPLN3
ILMN_1654322	ATP1B3
ILMN_1654324	HEYL
ILMN_1654331	HOXB4
ILMN_1654357	ZNF24
ILMN_1654370	TESK2
ILMN_1654385	ASB13
ILMN_1654392	KIAA0323
ILMN_1654398	RGL1
ILMN_1654408	TRAF7
ILMN_1654411	CCL18
ILMN_1654414	ACSL3
ILMN_1654422	ACTN2
ILMN_1654457	TXN2
ILMN_1654488	UTX
ILMN_1654504	CLEC7A
ILMN_1654516	TMEM120A
ILMN_1654534	NPSR1
ILMN_1654540	SEMA6D
ILMN_1654541	ATP6V1G2
ILMN_1654542	C5orf21
ILMN_1654543	MED6
ILMN_1654545	CPSF1
ILMN_1654552	MRPS31
ILMN_1654563	EFNB1
ILMN_1654566	HSPA1L
ILMN_1654571	FCHO1
ILMN_1654583	CHD1
ILMN_1654586	RASA3
ILMN_1654612	ZNF589
ILMN_1654613	THRA
ILMN_1654629	TMEM175
ILMN_1654639	HERC6
ILMN_1654653	KLC1
ILMN_1654671	SLMO1
ILMN_1654685	MCTP1
ILMN_1654689	ZNF197
ILMN_1654690	CECR5
ILMN_1654692	RALGPS2
ILMN_1654696	C15orf48
ILMN_1654697	ZNF280B
ILMN_1654703	GPR157
ILMN_1654722	MPV17L
ILMN_1654737	TRIM32
ILMN_1654773	CASK
ILMN_1654778	LSP1
ILMN_1654786	TRIM6
ILMN_1654792	C8orf15
ILMN_1654823	MGC70863
ILMN_1654851	FAM134A
ILMN_1654854	MURC
ILMN_1654855	DCX
ILMN_1654858	ZNF818
ILMN_1654861	ACO2
ILMN_1654864	C1orf58
ILMN_1654866	RANBP2
ILMN_1654890	LENG8
ILMN_1654893	SCAMP2
ILMN_1654916	KIF7
ILMN_1654920	HNRPH3
ILMN_1654939	TMED2
ILMN_1654942	NFIC
ILMN_1654945	DNMT3A
ILMN_1654946	ZSCAN18
ILMN_1654966	SCARA3
ILMN_1654998	SMEK1
ILMN_1655046	NUTF2
ILMN_1655052	TRNT1
ILMN_1655068	TOM1L2
ILMN_1655114	ABR
ILMN_1655117	WDR19
ILMN_1655137	ZCCHC11
ILMN_1655154	PTBP1
ILMN_1655163	STK24
ILMN_1655165	RNF138
ILMN_1655167	ZNF502
ILMN_1655171	PCDHGC5
ILMN_1655177	PIK4CA
ILMN_1655191	CASZ1
ILMN_1655194	PHF17
ILMN_1655225	C19orf25
ILMN_1655229	SLC7A11
ILMN_1655245	MDM1
ILMN_1655261	ERP27
ILMN_1655269	C2orf66
ILMN_1655296	UTRN
ILMN_1655307	FAM136A
ILMN_1655329	RIOK2
ILMN_1655340	RNF181
ILMN_1655341	PLAC8L1
ILMN_1655347	SCGB1A1
ILMN_1655374	SELV
ILMN_1655377	MRPS22
ILMN_1655382	DCLRE1B
ILMN_1655387	PRDM16
ILMN_1655405	SCARF2
ILMN_1655414	TNFSF14
ILMN_1655418	CAPNS1
ILMN_1655422	RPL17
ILMN_1655429	TNFAIP1
ILMN_1655468	DSG3
ILMN_1655469	TSPAN3
ILMN_1655482	TRIM27
ILMN_1655485	C1orf124
ILMN_1655497	EIF4B
ILMN_1655509	ASAH1
ILMN_1655525	FLCN
ILMN_1655532	ASB6
ILMN_1655537	ING1
ILMN_1655545	ZMYND12
ILMN_1655549	SIGLEC10
ILMN_1655557	INTS6
ILMN_1655561	ARPC3
ILMN_1655563	KIAA0427
ILMN_1655572	C6orf59
ILMN_1655577	TIAM1
ILMN_1655595	SERPINE2
ILMN_1655610	RET
ILMN_1655611	TSHZ2
ILMN_1655612	ARRDC2
ILMN_1655622	PRKRIR
ILMN_1655625	GPATCH1
ILMN_1655635	METTL3
ILMN_1655637	UPK1A
ILMN_1655642	FANCI
ILMN_1655644	ZNF804A
ILMN_1655645	AK2
ILMN_1655663	SC65
ILMN_1655664	DGKD
ILMN_1655684	SARS2
ILMN_1655702	ABHD5
ILMN_1655720	CNNM4
ILMN_1655722	BCL2L15
ILMN_1655733	RFC2
ILMN_1655734	BXDC5
ILMN_1655748	ZNF323
ILMN_1655765	MRPS21
ILMN_1655788	ZNF780A
ILMN_1655796	March 3
ILMN_1655809	SF3A1
ILMN_1655821	CAPG
ILMN_1655844	TAF1A
ILMN_1655884	ATP2A2
ILMN_1655892	TMEM32
ILMN_1655904	ROR1
ILMN_1655906	FBXW7
ILMN_1655913	NUCB2
ILMN_1655915	MMP11
ILMN_1655921	GTF2E1
ILMN_1655924	TRNT1
ILMN_1655935	ADCY7
ILMN_1655950	ZHX1
ILMN_1655961	C7orf54
ILMN_1655983	CDC14A
ILMN_1655987	STAB1
ILMN_1655990	CDK5RAP2
ILMN_1656011	RGS1
ILMN_1656016	DHX9
ILMN_1656017	NRF1
ILMN_1656042	KIAA0319L
ILMN_1656045	BRUNOL6
ILMN_1656057	PLAU
ILMN_1656066	TNPO2
ILMN_1656069	C17orf55
ILMN_1656079	KCNQ1
ILMN_1656088	C1orf110
ILMN_1656111	MYLIP
ILMN_1656118	ZBTB7A
ILMN_1656134	CNOT7
ILMN_1656136	STAU1
ILMN_1656144	MAPKAPK2
ILMN_1656145	GOT1
ILMN_1656159	ATP10D
ILMN_1656165	USP9X
ILMN_1656185	DEF8
ILMN_1656186	SLC41A1
ILMN_1656192	ZNF704
ILMN_1656194	TSPAN10
ILMN_1656196	E2F6
ILMN_1656200	KATNAL2
ILMN_1656248	ASAM
ILMN_1656274	PRPF38A
ILMN_1656285	METTL7A
ILMN_1656287	SPOCK2
ILMN_1656293	GOSR2
ILMN_1656297	C21orf57
ILMN_1656300	GFRA2
ILMN_1656310	INDO
ILMN_1656321	LTBP1
ILMN_1656330	CCKAR
ILMN_1656335	RIT1
ILMN_1656338	PTPRS
ILMN_1656361	LOC201175
ILMN_1656368	ALDH4A1
ILMN_1656369	C8orf4
ILMN_1656371	TRPA1
ILMN_1656372	PES1
ILMN_1656373	BNC2
ILMN_1656386	SEC24D
ILMN_1656399	TCEAL8
ILMN_1656409	STON1-GTF2A1L
ILMN_1656410	TRPC6
ILMN_1656413	ZMPSTE24
ILMN_1656415	CDKN2C
ILMN_1656419	RAB11FIP1
ILMN_1656434	IHPK1
ILMN_1656436	RBMS1
ILMN_1656452	C16orf59
ILMN_1656482	OSBPL2
ILMN_1656487	FGA
ILMN_1656501	DUSP5
ILMN_1656521	CGI-96
ILMN_1656537	SNRPN
ILMN_1656540	RUVBL1
ILMN_1656546	ARHGEF11
ILMN_1656557	ARMC8
ILMN_1656560	DKFZP564O0823
ILMN_1656617	LOC387856
ILMN_1656621	CHMP2A
ILMN_1656625	RPS24
ILMN_1656628	WDR4
ILMN_1656638	BHMT
ILMN_1656656	COX19
ILMN_1656670	HLA-G
ILMN_1656676	ZYG11B
ILMN_1656682	AZIN1
ILMN_1656691	FBXO4
ILMN_1656718	DEF8
ILMN_1656761	TGIF1
ILMN_1656792	FLYWCH1
ILMN_1656798	TIMM17A
ILMN_1656802	LOXL2
ILMN_1656807	RPL27
ILMN_1656822	DNM2
ILMN_1656826	SH3RF1
ILMN_1656837	RBP1
ILMN_1656840	VPS13D
ILMN_1656886	LIN37
ILMN_1656902	HECTD3
ILMN_1656904	SLC1A4
ILMN_1656910	TRIM6
ILMN_1656913	MDH1
ILMN_1656915	PSD3
ILMN_1656920	CRIP1
ILMN_1656934	REPS2
ILMN_1656940	ABLIM3
ILMN_1656942	PRICKLE3
ILMN_1656951	APCDD1
ILMN_1656955	PCDHGC3
ILMN_1656977	HIBCH
ILMN_1656979	ABO
ILMN_1657009	NFASC
ILMN_1657039	FILIP1
ILMN_1657045	ABR
ILMN_1657050	ARSK
ILMN_1657058	PPIL6
ILMN_1657064	C6orf70
ILMN_1657077	SOCS6
ILMN_1657095	STARD3
ILMN_1657128	PTPRU
ILMN_1657139	ADAT1
ILMN_1657144	C1orf69
ILMN_1657145	MEOX1
ILMN_1657148	C19orf23
ILMN_1657153	ACTR3
ILMN_1657158	RNF168
ILMN_1657204	SAE1
ILMN_1657234	CCL20
ILMN_1657237	NUBP2
ILMN_1657254	SGCD
ILMN_1657283	ALKBH5
ILMN_1657288	GUSBL2
ILMN_1657302	SULT1A1
ILMN_1657317	POLR2J
ILMN_1657332	CCDC85B
ILMN_1657344	PLAG1
ILMN_1657347	PODXL2
ILMN_1657361	CBX7
ILMN_1657373	LEPREL1
ILMN_1657381	RASSF6
ILMN_1657395	HMGCR
ILMN_1657405	SPPL3
ILMN_1657406	NUP50
ILMN_1657423	SPG21
ILMN_1657429	LOC57228
ILMN_1657435	MT1M
ILMN_1657436	FGFR1OP2
ILMN_1657442	ADARB1
ILMN_1657446	C1orf57
ILMN_1657451	SRPK2
ILMN_1657470	YTHDF3
ILMN_1657475	GALT
ILMN_1657483	SEC23B
ILMN_1657495	KIAA0152
ILMN_1657497	KIAA0319
ILMN_1657505	HR
ILMN_1657509	TSEN54
ILMN_1657515	RPS6KA5
ILMN_1657547	CCDC34
ILMN_1657550	MVD
ILMN_1657554	TSPYL2
ILMN_1657606	ZFHX4
ILMN_1657624	NSFL1C
ILMN_1657627	CBFA2T3
ILMN_1657631	STAP2
ILMN_1657634	FANCD2
ILMN_1657639	EDEM3
ILMN_1657643	KCNIP2
ILMN_1657662	EXOD1
ILMN_1657665	ZNF644
ILMN_1657679	VAV3
ILMN_1657680	CCDC69
ILMN_1657682	GFM1
ILMN_1657683	C1orf198
ILMN_1657697	SAR1A
ILMN_1657701	TMEM137
ILMN_1657708	MGLL
ILMN_1657744	C15orf17
ILMN_1657746	BPHL
ILMN_1657749	CYP27C1
ILMN_1657750	CNNM1
ILMN_1657754	RPAP2
ILMN_1657760	SYT17
ILMN_1657766	TRIM29
ILMN_1657769	EIF5
ILMN_1657771	CRTC2
ILMN_1657797	FIBP
ILMN_1657803	CFH
ILMN_1657810	PPM1M
ILMN_1657823	PMEPA1
ILMN_1657836	PLEKHG2
ILMN_1657837	ZC3H8
ILMN_1657838	JMJD5
ILMN_1657855	ACTL6B
ILMN_1657862	AHCY
ILMN_1657864	TMUB2
ILMN_1657870	ABL2
ILMN_1657871	RSAD2
ILMN_1657888	SALL1
ILMN_1657891	TNKS
ILMN_1657893	TXNRD2
ILMN_1657913	C1orf84
ILMN_1657949	RHEB
ILMN_1657955	FMNL3
ILMN_1657977	MSRB2
ILMN_1657983	TERF2IP
ILMN_1658015	MBNL2
ILMN_1658016	ZNF831
ILMN_1658027	RAD54L
ILMN_1658071	ATP1B1
ILMN_1658080	ZNF573
ILMN_1658094	ZNF365
ILMN_1658110	C18orf19
ILMN_1658121	CFP
ILMN_1658143	RFC3
ILMN_1658144	TRIP11
ILMN_1658152	MAP3K10
ILMN_1658160	FAM156A
ILMN_1658163	NR4A3
ILMN_1658173	ZNF418
ILMN_1658175	GGA1
ILMN_1658176	ABCG1
ILMN_1658182	MEX3C
ILMN_1658187	KIAA1026
ILMN_1658206	C1orf102
ILMN_1658231	BTBD14B
ILMN_1658243	PSD3
ILMN_1658247	OAS1
ILMN_1658259	DRG1
ILMN_1658261	MAPKBP1
ILMN_1658271	LSS
ILMN_1658277	L3MBTL
ILMN_1658289	WDR54
ILMN_1658290	C16orf68
ILMN_1658301	FAM83E
ILMN_1658327	BAZ1A
ILMN_1658333	ECM1
ILMN_1658337	AKIRIN1
ILMN_1658351	FIS1
ILMN_1658356	DKFZP586H2123
ILMN_1658373	PAN2
ILMN_1658376	CCDC114
ILMN_1658407	SLC43A3
ILMN_1658411	CHD4
ILMN_1658425	DAG1
ILMN_1658426	WNT10A
ILMN_1658437	SFXN4
ILMN_1658452	FAM53A
ILMN_1658472	APH1A
ILMN_1658483	IL1A
ILMN_1658486	MRPL54
ILMN_1658494	C13orf15
ILMN_1658498	SLC44A3
ILMN_1658499	SYT13
ILMN_1658504	CHKA
ILMN_1658513	IQSEC2
ILMN_1658519	SLC13A3
ILMN_1658526	RYK
ILMN_1658579	CDK5RAP3
ILMN_1658619	WWC1
ILMN_1658624	UBXN6
ILMN_1658626	RREB1
ILMN_1658636	MRE11A
ILMN_1658639	SLC46A3
ILMN_1658660	ACTC1
ILMN_1658675	CDH23
ILMN_1658677	DTX3
ILMN_1658678	SAAL1
ILMN_1658679	YJEFN3
ILMN_1658684	ATP9B
ILMN_1658695	NUF2
ILMN_1658702	HIST1H2BJ
ILMN_1658715	NRXN3
ILMN_1658717	DEPDC5
ILMN_1658743	CCNDBP1
ILMN_1658759	PEX19
ILMN_1658773	PIGF
ILMN_1658798	MEGF9
ILMN_1658800	BRPF3
ILMN_1658802	KRTCAP2
ILMN_1658821	SAMD1
ILMN_1658830	C10orf26
ILMN_1658853	ARHGAP25
ILMN_1658883	ARAF
ILMN_1658885	DAGLB
ILMN_1658920	MCTP1
ILMN_1658925	JAG2
ILMN_1658926	NOTCH3
ILMN_1658928	GNB2
ILMN_1658951	PPP2R4
ILMN_1658962	LCP2
ILMN_1658965	GABBR1
ILMN_1658989	MEX3B
ILMN_1658995	ACOT9
ILMN_1659017	C11orf74
ILMN_1659026	POLR2K
ILMN_1659027	SLC2A1
ILMN_1659029	FAM116B
ILMN_1659058	PPP1R10
ILMN_1659075	HLA-DOA
ILMN_1659079	C5orf25
ILMN_1659086	NEFL
ILMN_1659106	PHLDA3
ILMN_1659122	KLF10
ILMN_1659142	MDK
ILMN_1659156	ANKRD16
ILMN_1659189	C9orf89
ILMN_1659206	RARA
ILMN_1659227	CD79A
ILMN_1659240	MTMR14
ILMN_1659255	RP2
ILMN_1659259	PRPF6
ILMN_1659270	OTP
ILMN_1659285	PSMG1
ILMN_1659306	SVIL
ILMN_1659312	PMP22
ILMN_1659339	ELP4
ILMN_1659346	PPARA
ILMN_1659359	SCUBE3
ILMN_1659364	RFC5
ILMN_1659371	ADRA2A
ILMN_1659411	POLR2C
ILMN_1659415	MAP2K1IP1
ILMN_1659437	TXNDC17
ILMN_1659444	KIF1B
ILMN_1659462	DUSP23
ILMN_1659463	APAF1
ILMN_1659464	FAM71F1
ILMN_1659470	PBRM1
ILMN_1659517	WDR89
ILMN_1659522	EPS8L1
ILMN_1659523	USP39
ILMN_1659537	MED8
ILMN_1659541	CRELD1
ILMN_1659544	STX3
ILMN_1659564	SEC61A1
ILMN_1659572	AR
ILMN_1659576	FPGS
ILMN_1659599	ADC
ILMN_1659601	CCL26
ILMN_1659610	TJP3
ILMN_1659620	MYCBP
ILMN_1659678	GABRA2
ILMN_1659682	GALK2
ILMN_1659688	LGALS3BP
ILMN_1659696	USP6NL
ILMN_1659703	WWP2
ILMN_1659725	EXOSC5
ILMN_1659727	CDAN1
ILMN_1659744	PRMT1
ILMN_1659753	LAMP2
ILMN_1659762	BTF3
ILMN_1659766	BAG3
ILMN_1659782	STK19
ILMN_1659786	CCDC76
ILMN_1659800	BCL11A
ILMN_1659801	ATP6V1C1
ILMN_1659843	DNAJC3
ILMN_1659845	KIAA0355
ILMN_1659851	LOC389832
ILMN_1659856	FAM167B
ILMN_1659857	SNAP29
ILMN_1659874	SFRS15
ILMN_1659888	PPP1R14B
ILMN_1659895	MSN
ILMN_1659905	FKBP10
ILMN_1659913	ISG20
ILMN_1659923	GNAQ
ILMN_1659926	ST7L
ILMN_1659929	TCF1
ILMN_1659936	PPP1R15A
ILMN_1659937	ZBTB24
ILMN_1659943	BACH2
ILMN_1659950	APC2
ILMN_1659952	MTMR2
ILMN_1659960	IL4I1
ILMN_1659975	C1orf216
ILMN_1659976	CLP1
ILMN_1659982	GPR152
ILMN_1659984	MEP1A
ILMN_1659990	HIG2
ILMN_1660021	M6PRBP1
ILMN_1660031	P2RY6
ILMN_1660043	UBXN11
ILMN_1660063	POLE4
ILMN_1660079	RNF44
ILMN_1660086	MYH11
ILMN_1660111	UCHL3
ILMN_1660114	MMRN1
ILMN_1660125	SFMBT2
ILMN_1660186	SYF2
ILMN_1660193	ZNF529
ILMN_1660199	ACAA2
ILMN_1660222	MTBP
ILMN_1660232	PEX5
ILMN_1660261	TDRD6
ILMN_1660275	C2orf43
ILMN_1660282	POPDC2
ILMN_1660292	MRPS21
ILMN_1660305	PDE12
ILMN_1660306	ITGA8
ILMN_1660315	SPN
ILMN_1660321	CDH24
ILMN_1660341	LRPAP1
ILMN_1660345	NGRN
ILMN_1660364	PSCD4
ILMN_1660368	TRRAP
ILMN_1660379	C22orf40
ILMN_1660408	OMP
ILMN_1660413	SGK2
ILMN_1660426	CPSF4
ILMN_1660433	ARID1B
ILMN_1660436	HSPA1B
ILMN_1660446	BTNL3
ILMN_1660498	RPS27
ILMN_1660501	LY6H
ILMN_1660533	RPN1
ILMN_1660536	USP50
ILMN_1660541	PCNXL2
ILMN_1660547	ERC1
ILMN_1660549	GPR177
ILMN_1660551	CRAMP1L
ILMN_1660577	ATP5G2
ILMN_1660582	LIG3
ILMN_1660602	C1orf43
ILMN_1660608	GABRB3
ILMN_1660624	LIMK2
ILMN_1660635	LACTB2
ILMN_1660636	WWOX
ILMN_1660654	CDCA2
ILMN_1660661	TCP1
ILMN_1660663	DYRK1A
ILMN_1660674	LOC642181
ILMN_1660691	RAB31
ILMN_1660698	GTPBP8
ILMN_1660723	RDH13
ILMN_1660727	ENPP5
ILMN_1660732	PPP2R2B
ILMN_1660749	ASPSCR1
ILMN_1660786	HIPK1
ILMN_1660793	PAQR4
ILMN_1660806	CSRP2
ILMN_1660808	WFDC1
ILMN_1660810	TTC17
ILMN_1660812	C14orf11
ILMN_1660815	CAB39L
ILMN_1660817	DDB2
ILMN_1660837	CLCN3
ILMN_1660840	FAM152A
ILMN_1660844	INTS4
ILMN_1660852	ZC3H6
ILMN_1660858	RIN1
ILMN_1660864	RHBDL1
ILMN_1660871	NEK6
ILMN_1660880	RNH1
ILMN_1660904	TRIM15
ILMN_1660907	PTPRE
ILMN_1660935	MGC5139
ILMN_1660938	TOE1
ILMN_1660965	MGC24975
ILMN_1660973	GAD1
ILMN_1661002	RFWD2
ILMN_1661003	TREH
ILMN_1661010	ZMAT1
ILMN_1661039	MRPL30
ILMN_1661076	WFDC10B
ILMN_1661083	NFATC2
ILMN_1661137	SH3RF2
ILMN_1661138	GON4L
ILMN_1661142	TMF1
ILMN_1661156	USP31
ILMN_1661161	SIAH1
ILMN_1661170	NDUFB8
ILMN_1661173	TRIP4
ILMN_1661178	NR4A1
ILMN_1661194	CLDN14
ILMN_1661196	CSF2RA
ILMN_1661197	CLCF1
ILMN_1661264	SHMT2
ILMN_1661266	HLA-DQB1
ILMN_1661282	FRMPD2
ILMN_1661293	ZNF224
ILMN_1661299	TLE6
ILMN_1661307	JRK
ILMN_1661325	PKP4
ILMN_1661335	SPTBN1
ILMN_1661337	SRM
ILMN_1661342	Septin 6
ILMN_1661343	TNFSF14
ILMN_1661372	JUB
ILMN_1661373	AGPAT3
ILMN_1661409	C3orf63
ILMN_1661424	THAP6
ILMN_1661427	RFNG
ILMN_1661428	ATP11C
ILMN_1661439	FLOT1
ILMN_1661454	DGKA
ILMN_1661458	ARF1
ILMN_1661484	ZBTB45
ILMN_1661485	RBM34
ILMN_1661490	PFDN6
ILMN_1661491	SH3GL2
ILMN_1661492	ARRDC1
ILMN_1661500	B4GALT4
ILMN_1661516	POLR2J3
ILMN_1661537	LEPROT
ILMN_1661544	DGKA
ILMN_1661554	DIAPH1
ILMN_1661577	MAFA
ILMN_1661589	CD151
ILMN_1661593	FAM18B
ILMN_1661594	C2orf42
ILMN_1661596	FLVCR1
ILMN_1661599	DDIT4
ILMN_1661622	TBC1D7
ILMN_1661624	ARSD
ILMN_1661627	LZIC
ILMN_1661646	BANK1
ILMN_1661674	VCL
ILMN_1661683	THRA
ILMN_1661687	IL21R
ILMN_1661695	IRAK3
ILMN_1661708	LGALS7
ILMN_1661733	FOLR1
